moviechrono_id;"movie,""chapter"",""character"",""dialog"""
1;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Old man"",""Bloody kids."""
2;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Peter Pettigrew"",""Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy.."""
3;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Voldemort"",""NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say."""
4;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Bartemius Crouch Junior"",""I will not disappoint you my lord."""
5;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Voldemort"",""Good. First, gather our old comrades. Send them a sign."""
6;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Voldemort"",""Nagini tells me the old caretaker is standing outside the door."""
7;"Harry Potter and the Gobelt of Fire,""The Riddle House"",""Voldemort"",""Step aside so I can give our guest a proper greeting."""
8;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Hermione Granger"",""Harry!"""
9;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Hermione Granger"",""Are you alright?"""
10;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Hermione. Bad dream. When did you get here?"""
11;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Hermione Granger"",""Just now. You?"""
12;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Last night."""
13;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Hermione Granger"",""Wake up. Wake up Ronald!"""
14;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Ron Weasley"",""Bloody hell."""
15;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Hermione Granger"",""Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready."""
16;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Where are we actually going?"""
17;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Ron Weasley"",""Don't know. Hey Dad! Where are we going?"""
18;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Haven't the foggiest, keep up!"""
19;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Arthur! It's about time son."""
20;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right?"""
21;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Cedric Diggory"",""Yes sir."""
22;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Merlin's beard, you must be Harry Potter."""
23;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Yes sir. This way."""
24;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Great great pleasure."""
25;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Pleasure to meet you too sir."""
26;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""That's it sir, just over there."""
27;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Shall we? We don't want to be late."""
28;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Why are they all standing around that manky old boot?"""
29;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Fred Weasley"",""That isn't just any old manky boot mate."""
30;"Harry Potter and the Gobelt of Fire,""The Portkey"",""George Weasley"",""It's a portkey."""
31;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Time to go. Ready?"""
32;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""What's a 'portkey'?"""
33;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""After 3. One... Two..."""
34;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Harry!"""
35;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Three!"""
36;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Let go kids!"""
37;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Hermione Granger"",""What??"""
38;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Let! Go!"""
39;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""I bet that cleared your sinuses eh?"""
40;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""Thanks."""
41;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Well kids, welcome to the Quidditch World Cup!"""
42;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Amos Diggory"",""Parting of the waves I think old chap, see you at the match."""
43;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""See ya later Cedric."""
44;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Home sweet home."""
45;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry."""
46;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Fred Weasley"",""Yeah get out of the kitchen Ron."""
47;"Harry Potter and the Gobelt of Fire,""The Portkey"",""George Weasley"",""Yeah get out of the kitchen Ron."""
48;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Arthur Weasley"",""Feet off the table."""
49;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Fred Weasley"",""Feet off the table."""
50;"Harry Potter and the Gobelt of Fire,""The Portkey"",""George Weasley"",""Feet off the table."""
51;"Harry Potter and the Gobelt of Fire,""The Portkey"",""Harry Potter"",""I love magic."""
52;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Ron Weasley"",""Blimey Dad, how far up are we?"""
53;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Lucius Malfoy"",""Well put it this way, if it rains... you'll be the first to know"""
54;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Draco Malfoy"",""Father and I are in the minister's box, by personal invitation of Cornelius Fudge himself."""
55;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Lucius Malfoy"",""Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can."""
56;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Arthur Weasley"",""Come on up, take your seats. I told you these seats would be worth waiting for."""
57;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""George Weasley"",""Come on!"""
58;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Fred Weasley"",""It's the Irish!"""
59;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""George Weasley"",""Here come the Bulgarians!"""
60;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Fred Weasley"",""Krum!!!"""
61;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""George Weasley"",""Krum!!!"""
62;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Ron Weasley"",""Krum!!!"""
63;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""George Weasley"",""Yes!"""
64;"Harry Potter and the Gobelt of Fire,""The Quidditch World Cup"",""Announcer"",""Good evening! It gives me great pleasure to welcome each and every one of you to the final of the 422nd Quidditch World Cup. Let the match begin!"""
65;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ron Weasley"",""There's no one like Krum. He's like a bird the way he rides the wind. He's more than an athlete, he's an artist."""
66;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ginny Weasley"",""Think you're in love Ron?"""
67;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Fred Weasley"",""Viktor I love you! Viktor I do!"""
68;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""George Weasley"",""Viktor I love you! Viktor I do!"""
69;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Fred Weasley"",""When we're apart my heart beats only for youuu!"""
70;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""George Weasley"",""When we're apart my heart beats only for youuu!"""
71;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""When we're apart my heart beats only for youuu!"""
72;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Fred Weasley"",""Sounds like the irish have got their pride on."""
73;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""Stop! Stop it. It's not the irish. We've gotta get out of here. Now."""
74;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility."""
75;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ron Weasley"",""Been looking for you for ages. Thought we lost you."""
76;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""What is that?"""
77;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""Stop! That's my son."""
78;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""Ron, Harry, Hermione are you alright?"""
79;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Bartemius Crouch"",""Which of you conjured this?"""
80;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""You can't possibly.."""
81;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Bartemius Crouch"",""Do not lie! You have been discovered at the scene of the crime!"""
82;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""Crime?"""
83;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""Barty, they're just kids."""
84;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""What crime?"""
85;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Hermione Granger"",""Harry it's his mark."""
86;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""Those people tonight, in the masks... they're his too aren't they? they're his followers."""
87;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Bartemius Crouch"",""Follow me."""
88;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""There was a man. Before. There."""
89;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Bartemius Crouch"",""All of you, this way."""
90;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Arthur Weasley"",""Harry, who?"""
91;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""I dunno. I didn't see his face."""
92;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Trolley witch"",""Anything from the trolley? Anything from the trolley?"""
93;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Trolley witch"",""Anything from the trolley dears?"""
94;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ron Weasley"",""Packet of drewbals and a liquorice wand."""
95;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ron Weasley"",""On second thought, just the drewbals."""
96;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""It's alright I'll get it."""
97;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ron Weasley"",""Just the drewbals, thanks."""
98;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Cho Chang"",""Two pumpkin pasties please."""
99;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Cho Chang"",""Thank you."""
100;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Trolley witch"",""Anything sweet for you dear?"""
101;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""Oh no thank you I'm not hungry."""
102;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Hermione Granger"",""This is horrible, how can the ministry not know who conjured it. Isn't there any security or?"""
103;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Ron Weasley"",""Loads according to Dad, that's what worried them so much. Happened right under their noses."""
104;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Hermione Granger"",""It's hurting again isn't it, your scar."""
105;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Harry Potter"",""I'm fine."""
106;"Harry Potter and the Gobelt of Fire,""The Dark Mark"",""Hermione Granger"",""You know Sirius will want to hear about this. What you saw at the world cup, and the dream."""
107;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Rubeus Hagrid"",""Clear the runway."""
108;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Harry Potter"",""Well there's something you don't see every day."""
109;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen..."""
110;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic and their headmistress Madam Maxime."""
111;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Student"",""Blimey, that's one big woman."""
112;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff."""
113;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Ron Weasley"",""Blimey it's him, Viktor Krum!"""
114;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Igor Karkaroff"",""Albus!"""
115;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""Igor."""
116;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Olympe Maxime"",""Professor Dumbledore, my horses have travelled a long way. They will need attending to."""
117;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them."""
118;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Olympe Maxime"",""But you know Monsieur Hagrid, they drink only single malt whiskey."""
119;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Filius Flitwick"",""You idiot!"""
120;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks."""
121;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Fred Weasley"",""Wicked."""
122;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch."""
123;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Ron Weasley"",""Bloody hell, it's Mad-Eye Moody."""
124;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Hermione Granger"",""Alastor Moody? The aura."""
125;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Ron Weasley"",""He was a catcher. Half the cells in Azkaban are full thanks to him. He's supposed to be mad as a hatter though these days."""
126;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""My dear old friend, thanks for coming."""
127;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Alastor Moody"",""That stupid roof."""
128;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Seamus Finnigan"",""What's that he's drinking do you suppose?"""
129;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Harry Potter"",""I don't know but I don't think it's Pumpkin Juice."""
130;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Bartemius Crouch"",""After much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. This decision is final."""
131;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""George Weasley"",""That's rubbish! You don't know what you're doing!"""
132;"Harry Potter and the Gobelt of Fire,""The Triwizard Tournament"",""Albus Dumbledore"",""Silence!"""
133;"Harry Potter and the Gobelt of Fire,""The Goblet of Fire"",""Albus Dumbledore"",""The goblet of fire. Anyone wishing to submit themselves for the tournament merely write their name upon a piece of parchment and throw it in the flame before this hour on Thursday night. Do not do so lightly, if choosen there's no turning back. As from this moment the tri-wizard tournament has begun."""
134;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Alastor Moody"",""Alastor Moody."""
135;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Alastor Moody"",""Ministry malcontent. And your new defence against the dark arts teacher. I'm here because Dumbledore asked me, end of story, goodbye, the end. Any questions? When it comes to the dark arts, I believe in a practical approach. But first, which of you can tell me how many unforgivable curses there are?"""
136;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Hermione Granger"",""Three sir."""
137;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Alastor Moody"",""And they are so named?"""
138;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Hermione Granger"",""Because they are unforgivable. Use of any one of them will..."""
139;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Alastor Moody"",""Will earn you a one way ticket to Azkaban. Correct. Now the ministry says you're too young to see what these curses do. I say different! You need to know what you're up against, you need to be prepared, you need to find somewhere else to put your chewing gum other than the underside of your desk Mr Finnigan!"""
140;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Seamus Finnigan"",""Aw no way, the old codger can see out the back of his head."""
141;"Harry Potter and the Gobelt of Fire,""The Unforgivable Curses"",""Alastor Moody"",""So, which curse shall we see first?"""
