moviechrono_id;"movie,""chapter"",""character"",""dialog""";
48;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Garrick Ollivander"",""There are rumored to be three: The Elder Wand, the Resurrection Stone and the Invisibility Cloak. It is said that to possess them all is to make oneself the Master of Death. But few truly believe such objects exist --""";
49;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""But you, sir? Do you believe they exist?""";
50;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""You're lying. You know one exists and you told him about it. You told him about the Elder Wand and where to go looking for it.""";
51;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Garrick Ollivander"",""He tortured me! Besides, I conveyed only rumors. There's no guarantee he will find it --""";
52;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""He has found it, sir.""";
53;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""That's all, sir. We'll leave you to get some rest now.""";
54;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Garrick Ollivander"",""He's after you, Mr. Potter. If it's true, what you say, that he has the Elder Wand, I'm afraid you really don't stand a chance.""";
55;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Then I guess I'll just have to kill him before he finds me, sir.""";
56;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""You're sure it's hers?""";
57;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Hermione Granger"",""Positive. Harry turns to the two wands on the table -- the ones he showed Ollivander -- and extends the longest to Hermione.""";
58;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""I reckon you should take this then.""";
59;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""You heard Ollivander. It's Harry's now.""";
60;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Hermione Granger"",""But I hate that thing -- that's the wand that killed Sirius! How can I hold it and not feel...""";
61;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""If I can hold it, you can.""";
62;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""How will we know what it is when we get in there? After all, a Horcrux can be anything.""";
63;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""I'll know. I can't explain. It's like...""";
64;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""That's a bit scary.""";
65;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Hermione Granger"",""It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --""";
66;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""No. I just know. When one's near.""";
67;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Fleur Delacour"",""This is the closest I could find to what you described, Hermione.""";
68;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Hermione Granger"",""It's perfect. Thank you, Fleur.""";
69;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Bill Weasley"",""You're leaving, aren't you.""";
70;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""In the morning.""";
71;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Bill Weasley"",""And Griphook?""";
72;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""He'll be leaving too.""";
73;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Bill Weasley"",""Listen, I don't know what you're up to, but I know goblins. If you've struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you don't... he won't be forgiving.""";
74;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Luna Lovegood"",""The sky has lost a star.""";
75;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Luna Lovegood"",""My father used to say that when a child died. She looks up, smiles.""";
76;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Yeah. Funny. Listen, Luna, about your father, I don't want you to think I --""";
77;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Luna Lovegood"",""I know you understand why my father did what he did, Harry. That's why we don't need to talk about it.""";
78;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Hogwarts?""";
79;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""It's not the place you left, you""";
80;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Luna Lovegood"",""Neither am I.""";
81;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""Always good value. I'll miss her.""";
82;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""What d'you think?""";
83;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Wouldn't know you if I didn't know you.""";
84;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""You want to tell me what that is?""";
85;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.""";
86;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""You mean he could see you?""";
87;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""Something like that. I don't know. He died before I ever got to use it. The thing is...""";
88;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""Go on.""";
89;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Harry Potter"",""You'll think I'm mental, but more than once, when I've looked into it -- I think I've seen Dumbledore.""";
90;"Harry Potter and the Deathly Hallows Part 2,""He's After You"",""Ron Weasley"",""Bloody hell... that's a sight.""";
91;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""Well, how do I look?""";
92;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Hideous.""";
93;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""Oh dear, I missed a spot, didn't I? Hold still...""";
94;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --""";
95;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Never mind. I'm good.  That is you in there, isn't it?""";
96;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""You can give that to Hermione to hold, all right, Griphook?""";
97;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Goblin"",""Madam Lestrange.""";
98;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!""";
99;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Hey. Easy.""";
100;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""She gives us away and we might as well use that sword to slit our own throats. Understand?""";
101;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Hermione Granger"",""He's right. I was being stupid.""";
102;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""C'mon. Let's do it.""";
103;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Goblin"",""Identification.""";
104;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""I wish to enter my vault.""";
105;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Goblin"",""I see. Very well. Excuse me, won't you?""";
