moviechrono_id;"movie,""chapter"",""character"",""dialog"""
1;"Harry Potter and the Prisoner of Azkaban,""Under Covers Prologue"",""Harry Potter"",""Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!"""
2;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Petunia Dursley"",""Harry! Harry! Harry, open the door! Marge! How lovely to see..."""
3;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""Uncle Vernon, I need you to sign this form."""
4;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""What is it?"""
5;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""Nothing. School stuff."""
6;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""Later perhaps, if you behave."""
7;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""I will if she does."""
8;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Oh, you're still here, are you?"""
9;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""Yes."""
10;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!"""
11;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""Take Marge's suitcase upstairs!"""
12;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""Okay."""
13;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Finish that off for Mommy. Good boy, Rippy-pooh."""
14;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""Can I tempt you, Marge?"""
15;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?"""
16;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""St. Brutus'. It's a fine institution for hopeless cases."""
17;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Do they use a cane at St. Brutus', boy?"""
18;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""Oh, yeah. Yeah. I've been beaten loads of times."""
19;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?"""
20;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Petunia Dursley"",""Nothing. He didn't work. He was unemployed."""
21;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""And a drunk too, no doubt?"""
22;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""That's a lie!"""
23;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""What did you say?"""
24;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""My dad wasn't a drunk!"""
25;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Oh, don't worry Don't fuss, Petunia. I have a very firm grip."""
26;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""I think it's time you went to bed."""
27;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup."""
28;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Harry Potter"",""Shut up! Shut up!"""
29;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!"""
30;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Vernon Dursley"",""Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!"""
31;"Harry Potter and the Prisoner of Azkaban,""Aunt Marge's Big Mistake"",""Marge Dursley"",""Don't you dare!"""
