chrono_id;movie;chapter;character;dialog
6786;Harry Potter and the Deathly Hallows Part 2;He's After You;Garrick Ollivander;He's after you, Mr. Potter. If it's true, what you say, that he has the Elder Wand, I'm afraid you really don't stand a chance.
6787;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;Then I guess I'll just have to kill him before he finds me, sir.
6788;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;You're sure it's hers?
6789;Harry Potter and the Deathly Hallows Part 2;He's After You;Hermione Granger;Positive. Harry turns to the two wands on the table -- the ones he showed Ollivander -- and extends the longest to Hermione.
6790;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;I reckon you should take this then.
6791;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;You heard Ollivander. It's Harry's now.
6792;Harry Potter and the Deathly Hallows Part 2;He's After You;Hermione Granger;But I hate that thing -- that's the wand that killed Sirius! How can I hold it and not feel...
6793;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;If I can hold it, you can.
6794;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;How will we know what it is when we get in there? After all, a Horcrux can be anything.
6795;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;I'll know. I can't explain. It's like...
6796;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;That's a bit scary.
6797;Harry Potter and the Deathly Hallows Part 2;He's After You;Hermione Granger;It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --
6798;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;No. I just know. When one's near.
6799;Harry Potter and the Deathly Hallows Part 2;He's After You;Fleur Delacour;This is the closest I could find to what you described, Hermione.
6800;Harry Potter and the Deathly Hallows Part 2;He's After You;Hermione Granger;It's perfect. Thank you, Fleur.
6801;Harry Potter and the Deathly Hallows Part 2;He's After You;Bill Weasley;You're leaving, aren't you.
6802;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;In the morning.
6803;Harry Potter and the Deathly Hallows Part 2;He's After You;Bill Weasley;And Griphook?
6804;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;He'll be leaving too.
6805;Harry Potter and the Deathly Hallows Part 2;He's After You;Bill Weasley;Listen, I don't know what you're up to, but I know goblins. If you've struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you don't... he won't be forgiving.
6806;Harry Potter and the Deathly Hallows Part 2;He's After You;Luna Lovegood;The sky has lost a star.
6807;Harry Potter and the Deathly Hallows Part 2;He's After You;Luna Lovegood;My father used to say that when a child died. She looks up, smiles.
6808;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;Yeah. Funny. Listen, Luna, about your father, I don't want you to think I --
6809;Harry Potter and the Deathly Hallows Part 2;He's After You;Luna Lovegood;I know you understand why my father did what he did, Harry. That's why we don't need to talk about it.
6810;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;Hogwarts?
6811;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;It's not the place you left, you
6812;Harry Potter and the Deathly Hallows Part 2;He's After You;Luna Lovegood;Neither am I.
6813;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;Always good value. I'll miss her.
6814;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;What d'you think?
6815;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;Wouldn't know you if I didn't know you.
6816;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;You want to tell me what that is?
6817;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.
6818;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;You mean he could see you?
6819;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;Something like that. I don't know. He died before I ever got to use it. The thing is...
6820;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;Go on.
6821;Harry Potter and the Deathly Hallows Part 2;He's After You;Harry Potter;You'll think I'm mental, but more than once, when I've looked into it -- I think I've seen Dumbledore.
6822;Harry Potter and the Deathly Hallows Part 2;He's After You;Ron Weasley;Bloody hell... that's a sight.
6823;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;Well, how do I look?
6824;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Hideous.
6825;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;Oh dear, I missed a spot, didn't I? Hold still...
6826;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --
6827;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Never mind. I'm good.  That is you in there, isn't it?
6828;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;You can give that to Hermione to hold, all right, Griphook?
6829;Harry Potter and the Deathly Hallows Part 2;Gringotts;Goblin;Madam Lestrange.
6830;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!
6831;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Hey. Easy.
6832;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;She gives us away and we might as well use that sword to slit our own throats. Understand?
6833;Harry Potter and the Deathly Hallows Part 2;Gringotts;Hermione Granger;He's right. I was being stupid.
6834;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;C'mon. Let's do it.
6835;Harry Potter and the Deathly Hallows Part 2;Gringotts;Goblin;Identification.
6836;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;I wish to enter my vault.
6837;Harry Potter and the Deathly Hallows Part 2;Gringotts;Goblin;I see. Very well. Excuse me, won't you?
6838;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;I don't like to be kept waiting.
6839;Harry Potter and the Deathly Hallows Part 2;Gringotts;Goblin;Next.
6840;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;He's with me.
6841;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;They know!
6842;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;What do you mean?
6843;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;They know she's an imposter! They've been warned!
6844;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;Madam Lestrange. Would you mind presenting your wand?
6845;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;And why should I do that?
6846;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Harry, what do we do? Harry...?
6847;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;It's the bank's policy. I'm sure you understand, given the current climate --
