chrono_id;movie;chapter;character;dialog
1;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;I should have known that you would be here...Professor McGonagall.
2;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Minerva McGonagall;Good evening, Professor Dumbledore. Are the rumours true, Albus?
3;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;I'm afraid so, Professor. The good, and the bad.
4;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Minerva McGonagall;And the boy?
5;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;Hagrid is bringing him.
6;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Minerva McGonagall;Do you think it wise to trust Hagrid with something as important as this?
7;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;Ah, Professor, I would trust Hagrid with my life.
8;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Rubeus Hagrid;Professor Dumbledore, Sir. Professor McGonagall.
9;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;No problems, I trust, Hagrid?
10;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Rubeus Hagrid;No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.
11;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Minerva McGonagall;Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...
12;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;The only family he has.
13;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Minerva McGonagall;This boy will be famous. There won't be a child in our world who doesn't know his name.
14;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;Exactly. He's better off growing up away from all that. Until he is ready.
15;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;There, there, Hagrid. It's not really goodbye, after all.
16;Harry Potter and the Philosopher's Stone;Doorstep Delivery;Albus Dumbledore;Good luck...Harry Potter.
17;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;Up. Get up.  Now!
18;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Wake up, cousin! We're going to the zoo!
19;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;Oh, here he comes, the birthday boy!
20;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Vernon Dursley;Happy birthday, son.
21;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;Why don't you just cook the breakfast, and try not to burn anything.
22;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Harry Potter;Yes, Aunt Petunia.
23;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;I want everything to be perfect for my Dudley's special day.
24;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Vernon Dursley;Hurry up! Bring my coffee, boy!
25;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Harry Potter;Yes, Uncle Vernon.
26;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;Aren’t they wonderful, darling?
27;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;How many are there?
28;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Vernon Dursley;Thirty-six. Counted 'em myself.
29;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Thirty-six?! But last year last year I had thirty-seven!!
30;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Vernon Dursley;Err yes, well, some of them are quite a bit bigger than last year.
31;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;I don't care how big they are!
32;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?
33;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;This will be a lovely day at the zoo. I'm really looking forward to it.
34;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Vernon Dursley;I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.
35;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Make it move.
36;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Vernon Dursley;Move!
37;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;MOVE!
38;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Harry Potter;He's asleep!
39;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;He's boring.
40;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Harry Potter;Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.
41;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Mummy, dad, come here! You won't believe what this snake is doing!
42;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Whoa! Ahh! Ahh!!
43;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Snake;Thanks.
44;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Harry Potter;Anytime.
45;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Man;SNAKE!
46;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Mum, mummy!
47;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;AHH!
48;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Dudley Dursley;Mum, help! Help me!
49;Harry Potter and the Philosopher's Stone;The Vanishing Glass;Petunia Dursley;My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!
50;Harry Potter and the Philosopher's Stone;Letters from No One;Petunia Dursley;It's all right. It's all right.
51;Harry Potter and the Philosopher's Stone;Letters from No One;Harry Potter;Ow!
52;Harry Potter and the Philosopher's Stone;Letters from No One;Vernon Dursley;What happened?!
53;Harry Potter and the Philosopher's Stone;Letters from No One;Harry Potter;I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!
54;Harry Potter and the Philosopher's Stone;Letters from No One;Vernon Dursley;There's no such thing as magic!
55;Harry Potter and the Philosopher's Stone;Letters from No One;Petunia Dursley;Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.
56;Harry Potter and the Philosopher's Stone;Letters from No One;Vernon Dursley;Caveat Smeltona. Proudest moment of my life.
